Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,59.480000,59.669998,58.560001,59.310001,58.990044,6335800
2018-01-09,59.200001,59.470001,58.860001,59.180000,58.860741,5233400
2018-01-10,60.000000,60.130001,58.860001,59.820000,59.497288,8656500
2018-01-11,59.520000,60.020000,59.450001,60.000000,59.676319,5806300
2018-01-12,60.400002,60.509998,59.650002,60.400002,60.074162,6989100
2018-01-16,60.330002,61.099998,60.299999,60.560001,60.233299,8040700
2018-01-17,61.000000,61.330002,60.520000,60.660000,60.332756,8433800
2018-01-18,61.430000,61.439999,60.740002,61.090000,60.760437,9170900
2018-01-19,61.209999,61.459999,60.950001,61.259998,60.929520,8361900
2018-01-22,61.040001,61.470001,60.770000,61.410000,61.078712,11945800
2018-01-23,61.320000,61.910000,61.139999,61.689999,61.357201,10806800
2018-01-24,61.509998,61.939999,60.230000,60.830002,60.501842,11911900
2018-01-25,61.029999,61.200001,60.400002,60.549999,60.223351,16225600
2018-01-26,57.939999,58.169998,56.549999,57.990002,57.677162,51851700
2018-01-29,57.549999,58.349998,56.910000,57.020000,56.712395,18899900
2018-01-30,56.959999,57.540001,56.740002,57.189999,56.881477,14341200
2018-01-31,57.230000,57.450001,56.700001,56.810001,56.503529,13118400
2018-02-01,56.279999,56.419998,55.889999,56.000000,55.697899,14690100
2018-02-02,55.900002,56.320000,55.700001,55.770000,55.469139,15358900
2018-02-05,55.529999,56.259998,54.570000,54.689999,54.394962,16060000
2018-02-06,53.689999,56.060001,53.560001,55.610001,55.310001,17415100
2018-02-07,55.080002,55.430000,54.439999,54.459999,54.459999,13849700
2018-02-08,54.500000,54.680000,54.270000,54.369999,54.369999,3169436
